episode,avg_reward
0,17.0
1,22.0
2,18.0
3,11.0
4,36.0
5,12.0
6,20.0
7,17.0
8,31.0
9,14.0
10,11.0
11,35.0
12,13.0
13,18.0
14,21.0
15,29.0
16,15.0
17,38.0
18,22.0
19,10.0
20,25.0
21,25.0
22,13.0
23,25.0
24,29.0
25,20.0
26,37.0
27,26.0
28,25.0
29,66.0
30,47.0
31,11.0
32,32.0
33,25.0
34,17.0
35,40.0
36,28.0
37,17.0
38,76.0
39,26.0
40,44.0
41,43.0
42,55.0
43,78.0
44,110.0
45,157.0
46,39.0
47,44.0
48,156.0
49,138.0
50,176.0
51,180.0
52,185.0
53,74.0
54,204.0
55,195.0
56,305.0
57,76.0
58,176.0
59,182.0
60,121.0
61,152.0
62,327.0
63,183.0
64,318.0
65,269.0
66,223.0
67,181.0
68,229.0
69,248.0
70,200.0
71,167.0
72,291.0
73,208.0
74,176.0
75,275.0
76,261.0
77,321.0
78,159.0
79,216.0
80,184.0
81,166.0
82,283.0
83,173.0
84,190.0
85,210.0
86,255.0
87,279.0
88,237.0
89,278.0
90,245.0
91,252.0
92,197.0
93,373.0
94,186.0
95,233.0
96,226.0
97,337.0
98,210.0
99,287.0
100,256.0
101,222.0
102,387.0
103,263.0
104,388.0
105,241.0
106,297.0
107,316.0
108,324.0
109,483.0
110,256.0
111,244.0
112,274.0
113,324.0
114,309.0
115,284.0
116,378.0
117,299.0
118,434.0
119,373.0
120,247.0
121,254.0
122,449.0
123,262.0
124,345.0
125,454.0
126,310.0
127,381.0
128,319.0
129,255.0
130,274.0
131,279.0
132,369.0
133,336.0
134,349.0
135,442.0
136,365.0
137,396.0
138,269.0
139,381.0
140,357.0
141,438.0
142,416.0
143,343.0
144,344.0
145,242.0
146,319.0
147,341.0
148,427.0
149,303.0
150,336.0
151,293.0
152,375.0
153,393.0
154,391.0
155,343.0
156,389.0
157,361.0
158,462.0
159,500.0
160,248.0
161,473.0
162,372.0
163,492.0
164,430.0
165,321.0
166,431.0
167,457.0
168,361.0
169,289.0
170,491.0
171,479.0
172,500.0
173,314.0
174,433.0
175,392.0
176,429.0
177,399.0
178,326.0
179,370.0
180,388.0
181,302.0
182,384.0
183,338.0
184,443.0
185,429.0
186,393.0
187,242.0
188,318.0
189,356.0
190,347.0
191,372.0
192,339.0
193,428.0
194,390.0
195,351.0
196,379.0
197,339.0
198,287.0
199,413.0
200,494.0
201,500.0
202,500.0
203,500.0
204,432.0
205,500.0
206,500.0
207,370.0
208,337.0
209,365.0
210,433.0
211,396.0
212,466.0
213,279.0
214,356.0
215,416.0
216,411.0
217,452.0
218,500.0
219,499.0
220,500.0
221,500.0
222,500.0
223,500.0
224,339.0
225,384.0
226,322.0
227,460.0
228,363.0
229,317.0
230,411.0
231,450.0
232,410.0
233,388.0
234,500.0
235,500.0
236,357.0
237,385.0
238,408.0
239,292.0
240,408.0
241,436.0
242,500.0
243,446.0
244,440.0
245,495.0
246,396.0
247,352.0
248,372.0
249,470.0
250,459.0
251,350.0
252,487.0
253,500.0
254,259.0
255,428.0
256,500.0
257,446.0
258,500.0
259,493.0
260,500.0
261,498.0
262,369.0
263,361.0
264,426.0
265,365.0
266,403.0
267,444.0
268,337.0
269,376.0
270,373.0
271,486.0
272,467.0
273,500.0
274,320.0
275,500.0
276,282.0
277,500.0
278,455.0
279,422.0
280,500.0
281,482.0
282,360.0
283,292.0
284,500.0
285,303.0
286,180.0
287,500.0
288,293.0
289,359.0
290,500.0
291,500.0
292,399.0
293,345.0
294,307.0
295,351.0
296,407.0
297,500.0
298,491.0
299,430.0
300,411.0
301,365.0
302,402.0
303,367.0
304,395.0
305,500.0
306,402.0
307,500.0
308,316.0
309,280.0
310,383.0
311,370.0
312,429.0
313,500.0
314,410.0
315,500.0
316,328.0
317,500.0
318,500.0
319,284.0
320,500.0
321,321.0
322,372.0
323,254.0
324,293.0
325,460.0
326,336.0
327,310.0
328,364.0
329,430.0
330,500.0
331,354.0
332,470.0
333,320.0
334,500.0
335,500.0
336,500.0
337,432.0
338,281.0
339,181.0
340,291.0
341,404.0
342,196.0
343,345.0
344,329.0
345,332.0
346,466.0
347,317.0
348,281.0
349,500.0
350,438.0
351,344.0
352,330.0
353,376.0
354,500.0
355,316.0
356,479.0
357,182.0
358,379.0
359,206.0
360,500.0
361,256.0
362,500.0
363,207.0
364,483.0
365,395.0
366,357.0
367,276.0
368,397.0
369,297.0
370,494.0
371,466.0
372,167.0
373,500.0
374,500.0
375,343.0
376,274.0
377,234.0
378,459.0
379,159.0
380,190.0
381,327.0
382,424.0
383,280.0
384,500.0
385,301.0
386,481.0
387,500.0
388,242.0
389,314.0
390,500.0
391,302.0
392,231.0
393,338.0
394,365.0
395,428.0
396,331.0
397,407.0
398,500.0
399,406.0
400,443.0
401,222.0
402,329.0
403,339.0
404,253.0
405,368.0
406,337.0
407,301.0
408,325.0
409,255.0
410,364.0
411,272.0
412,137.0
413,268.0
414,500.0
415,217.0
416,257.0
417,250.0
418,313.0
419,310.0
420,483.0
421,286.0
422,500.0
423,500.0
424,467.0
425,282.0
426,331.0
427,260.0
428,354.0
429,342.0
430,297.0
431,175.0
432,149.0
433,396.0
434,362.0
435,287.0
436,187.0
437,313.0
438,438.0
439,500.0
440,500.0
441,390.0
442,292.0
443,260.0
444,452.0
445,335.0
446,209.0
447,317.0
448,289.0
449,500.0
450,256.0
451,500.0
452,268.0
453,384.0
454,214.0
455,340.0
456,367.0
457,330.0
458,487.0
459,300.0
460,372.0
461,362.0
462,352.0
463,500.0
464,480.0
465,13.0
466,321.0
467,252.0
468,364.0
469,340.0
470,294.0
471,356.0
472,273.0
473,500.0
474,292.0
475,35.0
476,288.0
477,269.0
478,21.0
479,277.0
480,366.0
481,245.0
482,241.0
483,327.0
484,316.0
485,343.0
486,439.0
487,352.0
488,273.0
489,371.0
490,346.0
491,238.0
492,414.0
493,273.0
494,345.0
495,281.0
496,394.0
497,314.0
498,358.0
499,468.0
500,205.0
501,292.0
502,228.0
503,456.0
504,275.0
505,368.0
506,188.0
507,303.0
508,327.0
509,380.0
510,329.0
511,500.0
512,313.0
513,294.0
514,275.0
515,351.0
516,131.0
517,319.0
518,316.0
519,333.0
520,236.0
521,500.0
522,348.0
523,361.0
524,299.0
525,360.0
526,318.0
527,450.0
528,500.0
529,406.0
530,500.0
531,391.0
532,354.0
533,488.0
534,399.0
535,357.0
536,321.0
537,500.0
538,344.0
539,491.0
540,495.0
541,461.0
542,500.0
