episode,avg_reward
0,15.0
1,24.0
2,30.0
3,87.0
4,17.0
5,16.0
6,14.0
7,11.0
8,12.0
9,11.0
10,10.0
11,14.0
12,10.0
13,10.0
14,10.0
15,10.0
16,9.0
17,11.0
18,12.0
19,12.0
20,9.0
21,14.0
22,11.0
23,15.0
24,12.0
25,9.0
26,24.0
27,21.0
28,13.0
29,15.0
30,20.0
31,18.0
32,26.0
33,25.0
34,34.0
35,33.0
36,33.0
37,52.0
38,57.0
39,49.0
40,25.0
41,29.0
42,27.0
43,31.0
44,36.0
45,31.0
46,29.0
47,47.0
48,37.0
49,55.0
50,40.0
51,46.0
52,42.0
53,44.0
54,39.0
55,27.0
56,35.0
57,36.0
58,56.0
59,102.0
60,84.0
61,54.0
62,54.0
63,92.0
64,92.0
65,49.0
66,61.0
67,107.0
68,93.0
69,38.0
70,34.0
71,76.0
72,38.0
73,57.0
74,50.0
75,49.0
76,50.0
77,68.0
78,55.0
79,48.0
80,51.0
81,45.0
82,34.0
83,44.0
84,152.0
85,66.0
86,56.0
87,83.0
88,55.0
89,186.0
90,124.0
91,88.0
92,284.0
93,122.0
94,157.0
95,204.0
96,162.0
97,144.0
98,104.0
99,500.0
100,440.0
101,152.0
102,72.0
103,113.0
104,131.0
105,114.0
106,106.0
107,105.0
108,116.0
109,36.0
110,73.0
111,103.0
112,97.0
113,105.0
114,94.0
115,86.0
116,98.0
117,102.0
118,100.0
119,125.0
120,102.0
121,106.0
122,102.0
123,93.0
124,97.0
125,96.0
126,87.0
127,89.0
128,86.0
129,75.0
130,89.0
131,40.0
132,83.0
133,88.0
134,197.0
135,169.0
136,106.0
137,63.0
138,67.0
139,103.0
140,65.0
141,198.0
142,163.0
143,176.0
144,391.0
145,190.0
146,70.0
147,92.0
148,94.0
149,87.0
150,86.0
151,76.0
152,82.0
153,83.0
154,82.0
155,84.0
156,90.0
157,83.0
158,82.0
159,88.0
160,99.0
161,96.0
162,95.0
163,150.0
164,91.0
165,110.0
166,98.0
167,119.0
168,182.0
169,131.0
170,266.0
171,360.0
172,500.0
173,500.0
174,349.0
175,177.0
176,500.0
177,373.0
178,185.0
179,478.0
180,223.0
181,181.0
182,195.0
183,235.0
184,139.0
185,148.0
186,500.0
187,238.0
188,228.0
