episode,avg_reward
0,-75.46782288165097
1,-663.9486328007747
2,-357.2784767662586
3,-484.0112263141628
4,-736.3358225605479
5,-727.1484402766858
6,-683.1408769407456
7,-446.7660433565414
8,-418.0750289172508
9,-566.0870694068217
10,-709.5613725572553
11,-282.83935239678954
12,-624.5924487753457
13,-476.14412165106523
14,-499.4991652299143
15,-394.89425254307946
16,-348.61348027323635
17,-320.3593945130443
18,-413.1133615697298
19,-545.3497618375079
20,-275.59587324176584
21,-510.92852772224234
22,-671.524776108486
23,-371.30903240118715
24,-535.6339773737045
25,-344.33441427457217
26,-378.62233530166196
27,-390.7144872102683
28,-637.8430570375165
29,-408.18488558646874
30,-374.0940389466606
31,-367.09816209740546
32,-106.66400214772844
33,-107.83999294262958
34,-207.48763665677845
35,-218.01210295330293
36,-124.40276071940004
37,-102.29618526074353
38,-520.1193845529093
39,-365.6115275029158
40,-62.62568413024815
41,-78.15497490233513
42,-359.3149818685424
43,-349.37830609689024
44,-286.15969516801266
45,-281.36280472944844
46,-95.87581960876616
47,-97.48191794579445
48,-256.69005229824876
49,-336.3109414984327
50,-330.7523115181215
51,-316.709804908415
52,-259.42644367815205
53,-214.68032711201386
54,-351.4557825215943
55,-210.13021135291535
56,-253.81515334513662
57,-236.9288505968998
58,-270.99809333052366
59,-265.9097836720647
60,19.028632476235884
61,-20.108367339792025
62,-6.849845683002783
63,-192.61730448695945
64,-23.772970421446615
65,-136.496874416453
66,-14.289342687364794
67,-65.4795952699834
68,-173.08532411836913
69,-8.901588609153789
70,-77.83932292756558
71,-49.61532275434736
72,-117.4451759440236
73,-91.16022175338587
74,-71.08481890289147
75,-115.22964703265276
76,-53.97921438721612
77,-14.210903507763883
78,-115.7471130954677
79,-117.739508702935
80,-108.93208029505213
81,-138.7889307983184
82,-114.03213068732234
83,-108.72572125296877
84,-70.75660376117725
85,-142.21479252968538
86,-161.5530401664564
87,-110.43127437823222
88,-79.92627000653097
89,-83.83017697336798
90,-96.19418808832762
91,-95.32645185278078
92,-121.80278231778672
93,-87.28787345723799
94,-80.64885896656142
95,-113.5237194027081
96,-2.8272082043916837
97,-56.877721487865536
98,-75.50682254600353
99,-87.02700163017896
100,-43.279713258696965
101,-57.04756493549385
102,-46.8222547171461
103,-81.06854256371803
104,-58.42155803694274
105,-81.32092325005178
106,-37.37083345443449
107,-138.4708002363086
108,-141.5067995265703
109,-119.6593710358338
110,-49.89587774922911
111,-24.65380883664614
112,-118.5012373263769
113,-76.38614684420214
114,-17.74846619986357
115,-13.076040074466007
116,-18.396431741480484
117,-23.791867589235796
118,-80.27899910240669
119,-17.14709440920961
120,-58.8291610634701
121,-74.4828541153513
122,-22.693334893818903
123,-65.69967817949133
124,-86.54091148984645
125,-82.63965383144038
126,-115.32397064001574
127,-92.83241605298932
128,-48.27773575705822
129,-58.15203153921636
130,-77.74612577686734
131,-117.81177687628598
132,-86.70521740922936
133,-97.92847429076654
134,-87.24395227108458
135,-88.12144744311738
136,-79.15148587826667
137,-69.05417204316804
138,-153.73797406329007
139,-150.4385155145772
140,-45.86488638335768
141,-22.11902671481804
142,-20.96407846688298
143,-88.35395760450574
144,-58.479973887502744
145,0.7565669342661951
146,-76.38240816911323
147,-58.65578356276619
148,-105.13677449616586
149,-116.7115161079361
150,-129.99246446870362
151,-0.5352683686577664
152,-102.93328199503395
153,-74.55043290871377
154,-42.19326989653399
155,-114.85836942685019
156,-123.5795459312782
157,-249.40778190254565
158,-52.07865820416153
159,-197.29341335732178
160,-100.29867598471522
161,-113.81476649063849
162,-78.68931413663124
163,-128.8430861468242
164,128.7736148798619
165,-93.99210804110128
166,-116.97651838585642
167,-108.1004388540335
168,-145.59667485260107
169,-163.40014700384842
170,-165.0610096584059
171,-220.38333450547566
172,-65.91651974535418
173,-131.01291008177742
174,170.5400076373412
175,-172.44256570424312
176,-206.67183117624234
177,-79.8061754415472
178,-115.42047880306512
179,-211.39201695256907
180,-33.55996230604293
181,-221.97777569022344
182,-139.82636502896972
183,-71.93211021439043
184,-123.71521086271743
185,-68.3690505178129
186,-153.5698487133346
187,-105.22083293534733
188,-222.16861162551413
189,-229.72559316298765
190,-214.17622081639593
191,-204.76551605851205
192,-166.56323647619223
193,-166.86904569860087
194,-146.25409892760214
195,-175.16116671636198
196,-61.4515078115859
197,-190.7491759276959
198,-96.79577158449115
199,-75.16463934852099
200,-138.14104356240375
201,-156.57525152528177
202,-122.15338180761948
203,-53.07263693908708
204,-82.390899312058
205,-82.9065006042766
206,-31.120426431175627
207,3.2956595666810706
208,-173.37035021808492
209,-175.99491893025834
210,-124.20250199205458
211,-122.2791011104566
212,-19.190445278107273
213,-32.828378251870575
214,-97.81237980773568
215,127.33290654216005
216,147.1439888143746
217,-37.361596766755476
218,1.753980150295261
219,-131.19271632887367
220,-158.62188578811887
221,-102.89388026709048
222,-101.06784923220933
223,-210.5186951690582
224,-184.7708525542376
225,-98.04584632652072
226,-80.03670252917192
227,-54.500811581816905
228,-119.92009293044741
229,-93.08101626790172
230,-60.65902707947003
231,-24.02776133310561
232,-100.87528348586432
233,-84.67056872560137
234,-58.877422264192376
235,-44.65557552748669
236,-149.66926757611293
237,-75.01979492942291
238,-98.94961718662472
239,-133.76045880174908
240,-59.41511676966304
241,-98.3659335705981
242,-96.22126487230418
243,-123.61695215662284
244,-60.443951053276216
245,-128.38598449439596
246,-71.1686338073547
247,-160.7476086954524
248,-52.22604251887347
249,-72.80729611675363
250,-62.52728964358363
251,-119.43901161449114
252,-90.99183851933198
253,-60.7912830768538
254,-150.33803757712528
255,-113.19136800851825
256,-93.36508625386797
257,-53.43169317555466
258,-166.76671151716448
259,-91.27401453780655
260,-83.08178600063293
261,-113.89587925211461
262,-172.4498274104011
263,-123.76885091613646
264,-173.00987996372965
265,-186.17131987187685
266,-66.15689095538934
267,-78.07697266036489
268,-95.81700826234928
269,-102.03294491290572
270,-75.99865634648361
271,-37.6376403277727
272,-73.12187161261514
273,-100.19754437672802
274,-100.02751481194801
275,-164.2873007120963
276,-170.76051964821752
277,-187.17121514665416
278,-60.26653295335837
279,-83.31717094974007
280,94.38581349947371
281,-144.32417074295915
282,-42.62649216974013
283,-119.03719329386836
284,9.876772674023428
285,-58.110571530978845
286,-4.901416047407412
287,-20.84586223888712
288,-0.6348560018936324
289,10.842184417856659
290,13.146281429068463
291,-72.54430137712467
292,-82.41784231924613
293,-90.53267392958011
294,-157.84098376445365
295,-102.48252333005891
296,-68.50206083299219
297,-131.7480346186682
298,129.7269884064581
299,-11.275652909751066
300,-26.827692597804013
301,-73.39832380230627
302,-33.496557150731334
303,-23.282309578924774
304,-27.183117677190783
305,-69.06193538402819
306,-29.580810753277728
307,-75.24936473780352
308,-78.80098242091516
309,-86.94939057150566
310,-80.2331981709748
311,-72.05138298222751
312,-107.38467662685555
313,-98.09383523958942
314,-129.60106594674187
315,-66.1793411783019
316,-102.97962443180815
317,-71.19453514384938
318,-97.96818662505275
319,-117.76113377698175
320,-68.1383192191926
321,-68.8641358440713
322,-47.02170675166312
323,-35.518793783607364
324,-67.81386604904814
325,-94.19384689251086
326,-83.03862917823349
327,-45.46559974229156
328,-4.864299275953769
329,-29.921629760144413
330,-9.288365071834392
331,24.474301336335067
332,2.986284981223861
333,-11.095947917876959
334,120.83543485604193
335,64.69653166069614
336,-41.14046662368238
337,-88.11191493800241
338,78.22678696549958
339,-30.489313866101
340,31.07732010423525
341,70.72811612206753
342,-117.66612807215006
343,142.2571795912595
344,145.8415539348947
345,-168.79709728066956
346,-117.83314654554543
347,-89.51308938112439
348,-2.288241955495767
349,-3.2399990710671647
350,-47.44357297761273
351,-68.10691429540536
352,-76.1096146639286
353,-42.0003872149492
354,-34.71008469098133
355,-26.376587217060944
356,-54.17433616367948
357,-96.35250395775564
358,-73.17756272346328
359,109.69910404094973
360,116.70463037075126
361,113.8780574872843
362,9.146161996116335
363,-16.32294265231341
364,-20.243475670381784
365,-0.7669476603610235
366,-41.126891704925
367,-19.36780908859876
368,-24.704441421526084
369,-30.43648223302064
370,-44.18717190438362
371,-42.56180250250496
372,-35.627180889349326
373,-34.54886849598547
374,-35.854499990207586
375,-43.61886879474642
376,-46.19821095222565
377,-141.21041690719
378,-33.81071883521254
379,-34.08962344378964
380,-14.014128824015016
381,-51.58193221193806
382,-34.20930791351047
383,-47.33396511177
384,-40.465930121649315
385,-39.58394390082194
386,-4.0850763945548145
387,-29.328458828915316
388,-30.162392995973036
389,-24.71359554413141
390,115.94497958728883
391,48.74017281698734
